11163|0,1,2,3|0
11406|4,5,6|1
10111|7|1
7294|8,9|1
8146|8,10,11,12|2
4580|13,14,6|3
7194|15,16,17,18,19,6|1
5887|20,21|1
8307|22,23,6,24,25,14,26|4
4214|27,12|5
9158|15,16,17,18,28,6|4
7021|29,12|1
8363|8,9|6
1597|30,12|4
7810|31,20,32|7
696|33,14,6|1
1783|34,35|8
3609|36,12|1
7893|37,6,38|7
8762|8,39,40|9
8281|41,35|10
3258|42,43,44|4
660|45,46,47,12|1
5031|36,48,12|4
7295|33,14,6,49|4
2683|50,6|4
1871|8,51,52,12|4
3760|53,54,55,56|3
5152|57,58,59|5
7043|30,12|4
6873|53,60,61,62,63|8
4560|29,12|11
5284|64,65,66,14,6|1
2916|67,12,20,68|1
6792|69,70|1
9328|7|4
5538|47,12|1
2898|14,6,24,25|1
4658|53,71|4
4884|12|7
8159|72,73|8
3723|61,74|3
4777|36,12|1
10920|11,12|10
10843|47,12|1
3253|6,75|6
7610|76,77,78|10
1340|36,12|4
6358|8,9|3
1411|79,27,12|8
3750|6,35,38,80,81,82|1
7843|8,9|1
2158|65,66,14,6,38,81|1
7047|83,84|10
5600|13,14,6,25|1
8548|48,27,12|1
11316|85,86,58,87,63,53|7
9787|88,6|12
8938|8,9|5
3738|12|1
2876|89,90,6,91,92|4
2255|31,20,32|1
757|93,42,43,94,12|8
2033|35,95|1
9635|61,30,96,12|3
10475|58,59|13
6460|97,16,17,18,6|8
8171|98,3,99,35,100|1
10677|101,77|3
11167|4,6|3
2142|98,3|4
101|102,12|1
9746|8,33,9,14,6|14
8607|7|4
629|36,12|4
4542|103,8,27,12|1
4855|33,14,6|4
3350|53,54,56|8
7082|69,70|15
8292|104,48,12|4
8382|6,105|7
783|106,42,104,43,12|7
6969|107,108|1
5090|8,9|1
7062|109,69,110,70|1
5798|111,58,112|1
6738|8,51|1
3413|36,12|10
10495|0,1|1
10097|8,113|4
2492|8,114,42,43,39,40|4
9723|101,77,76|8
10857|65,66,14,6|1
7870|33,14,6,82,38,37|10
4012|29,12|1
37|36,104,12|4
3745|6,115|1
5872|116,117,118,6,20|1
10577|76,77|8
9249|13,119,14,6,120|10
8916|118,6,121|6
2774|118,6,121|1
5148|122,12|1
5796|6,123|10
3509|124,125,12|1
4913|84,126|12
5251|58,59,127|5
860|29,12|1
10358|104,12|1
5875|83,84|13
8914|45,12|10
9327|128,70|1
9203|69,70|1
8520|27,12|8
10696|89,129,130|1
7200|131,12|8
3937|76,77,101|1
1556|104,12|10
4438|8,113|4
1108|132,12|8
1352|93,42,133,43|4
3129|134,83,84|1
3240|8,39,40,9|1
4038|135,35|7
7675|111,58,136|8
9041|137,138,70|7
8828|83,84|7
493|29,12|10
9341|69,70|5
5943|53,85,87,63|4
5066|139,140|1
10972|53,85,87,63|1
11502|141,20|7
3641|142,8,9,143,144|3
4830|145,12|1
4814|31,20,21,32|4
9743|48,29,12|1
1446|52,12|1
9727|134,141,20,84|1
4796|146,6|7
2992|8,147|4
6324|29,12|8
6639|42,8,39,40,124,36,148,43,12|1
10750|13,14,6|0
3867|122,12|1
3814|149,12|3
2715|8,147|10
2193|47,12|1
8446|42,148,43|1
8671|58,59,127|4
2404|8,9|1
4869|42,61,43,150|8
3507|7|0
10268|8,113,27,12|4
6187|8,113|4
9179|53,151|1
2509|48,12|6
3039|29,12|10
9049|152,8,89,153,154,12|7
291|13,119,14,6|1
10313|29,12|3
6048|58,59,127|7
10812|110,70|8
7603|53,85,63|1
6773|42,12,104,133,43|8
5557|29,12|5
8522|84,126|3
4513|155,117,6,20,156|4
7705|20,157,67|1
9925|104,158,67,20,12|8
9462|13,33,14,6,25|7
1485|30,12|8
1221|16,17,18,28,6|1
5436|77,159|6
7546|69,70|10
9934|33,14,6|10
8674|160,58,6,161|10
4554|162,108|13
8184|48,12|13
9030|48,12|1
3049|68,30,12|13
8473|65,66,14,6|8
400|31,163,20,32|4
4473|8,9|4
909|104,125,12|1
3826|164,35|4
7637|104,12|4
5099|131,43,12|7
4562|4,14,6,120,165|4
10314|48,30,12|4
1309|45,47,12|16
1763|36,104,122,12|1
7691|36,12|1
7173|104,12|5
2687|166,70,138|5
859|48,131,102,12|4
1907|8,113,27,12|1
7717|8,167|7
407|166,31,70,20,32|4
2856|168,14,6|7
1265|48,12|4
2201|131,12|6
1263|30,12|3
11015|169,170,35,100|7
5076|171,6|10
2317|8,113|4
510|109,172,70|1
1491|173,174,12|4
6064|69,70|5
6956|142,8,144|1
2384|31,175|1
9818|89,176|17
8023|128,70|1
2296|42,43,44|1
10415|30,12|1
633|8,113,124,177,12|1
2936|47,12|18
10852|7|10
880|12,30,68|6
480|142,8,12,27,144|4
2134|4,6|4
7037|110,70|1
10821|70,138|8
9244|98,3|10
1533|131,12|7
4847|50,6|7
6539|27,12|6
10453|90,6|1
7836|47,12|1
1509|14,6,120|4
5650|6,160,58,161|1
6649|178,6,117|10
9827|179,58|4
5032|180,134,84|13
625|43,42,104,133,12|4
10373|98,3,1,181|7
5257|8,113|5
1928|11,27,12|1
1489|182,145,12|1
10338|8,113|1
7983|8,36,27,147,12|1
7275|77,159|19
4827|104,52,12|1
5271|53,54,56|4
10550|53,87,63|1
1947|180,134,84|1
9632|119,14,6|1
10660|48,47,12|1
2468|29,12|4
3584|53,183|8
9318|30,12|12
7033|69,70|7
10427|184,70|1
6842|128,70|1
9130|30,12|10
9866|185,23,26|20
9770|27,12|7
6810|8,143,9,144|1
2410|29,12|8
979|186,12|7
667|47,12|13
2896|31,20,21,32|7
70|187,177,12|8
9281|188,70|1
3086|102,12|7
7538|139,140|7
